filename,width,height,class,xmin,ymin,xmax,ymax
BridgeEntrance-001_00030.jpg,389,423,pedestrian,234,130,272,197
BridgeEntrance-001_00054.jpg,389,423,pedestrian,257,151,285,228
BridgeEntrance-001_00054.jpg,389,423,pedestrian,277,113,295,167
BridgeEntrance-001_00054.jpg,389,423,pedestrian,251,119,269,177
BridgeEntrance-001_00071.jpg,389,423,pedestrian,274,110,305,171
BridgeEntrance-001_00126.jpg,389,423,pedestrian,280,117,303,179
BridgeEntrance-001_00126.jpg,389,423,pedestrian,257,111,282,173
BridgeEntrance-001_00163.jpg,389,423,pedestrian,270,123,292,180
BridgeEntrance-001_00213.jpg,389,423,pedestrian,217,132,242,200
BridgeEntrance-001_00213.jpg,389,423,pedestrian,176,93,191,127
BridgeEntrance-001_00235.jpg,389,423,pedestrian,270,146,309,224
BridgeEntrance-001_00260.jpg,389,423,pedestrian,276,109,298,158
BridgeEntrance-001_00287.jpg,389,423,pedestrian,230,121,258,171
BridgeEntrance-001_00297.jpg,389,423,pedestrian,129,112,149,157
BridgeEntrance-001_00340.jpg,389,423,pedestrian,265,132,294,206
BridgeEntrance-001_00374.jpg,389,423,pedestrian,135,114,157,162
BridgeEntrance-001_00374.jpg,389,423,pedestrian,120,115,139,162
BridgeEntrance-001_00389.jpg,389,423,pedestrian,230,134,260,204
BridgeEntrance-001_00389.jpg,389,423,pedestrian,256,118,278,170
BridgeEntrance-001_00400.jpg,389,423,pedestrian,253,114,274,171
BridgeEntrance-001_00400.jpg,389,423,pedestrian,273,116,296,171
BridgeEntrance-001_00417.jpg,389,423,pedestrian,23,126,49,182
BridgeEntrance-001_00417.jpg,389,423,pedestrian,222,110,247,159
BridgeEntrance-001_00417.jpg,389,423,pedestrian,243,113,264,162
BridgeEntrance-002_00008.jpg,389,423,pedestrian,284,145,308,220
BridgeEntrance-002_00008.jpg,389,423,pedestrian,256,114,281,175
BridgeEntrance-002_00613.jpg,389,423,pedestrian,260,132,282,201
BridgeEntrance-002_00613.jpg,389,423,pedestrian,294,144,327,226
BridgeEntrance-003_00015.jpg,389,423,pedestrian,261,123,291,196
BridgeEntrance-003_00075.jpg,389,423,pedestrian,166,107,190,160
BridgeEntrance-003_00127.jpg,389,423,pedestrian,272,149,303,226
BridgeEntrance-003_00127.jpg,389,423,pedestrian,304,141,333,226
BridgeEntrance-003_00214.jpg,389,423,pedestrian,236,139,263,211
BridgeEntrance-003_00214.jpg,389,423,pedestrian,213,137,236,206
BridgeEntrance-003_00214.jpg,389,423,pedestrian,63,128,89,191
BridgeEntrance-003_00295.jpg,389,423,pedestrian,231,141,259,214
BridgeEntrance-003_00308.jpg,389,423,pedestrian,246,138,265,200
BridgeEntrance-003_00308.jpg,389,423,pedestrian,226,136,247,198
BridgeEntrance-004_00318.jpg,389,423,pedestrian,267,143,294,210
BridgeEntrance-004_00333.jpg,389,423,pedestrian,235,136,258,205
BridgeEntrance-004_00397.jpg,389,423,pedestrian,213,124,234,183
BridgeEntrance-004_00427.jpg,389,423,pedestrian,312,162,344,249
BridgeEntrance-004_00427.jpg,389,423,pedestrian,272,135,299,208
BridgeEntrance-004_00468.jpg,389,423,pedestrian,297,163,325,238
BridgeEntrance-004_00485.jpg,389,423,pedestrian,300,156,332,232
BridgeEntrance-004_00560.jpg,389,423,pedestrian,255,148,279,226
BridgeEntrance-004_00560.jpg,389,423,pedestrian,234,146,254,222
BridgeEntrance-004_00560.jpg,389,423,pedestrian,210,149,234,225
BridgeEntrance-004_00603.jpg,389,423,pedestrian,272,117,295,185
BridgeEntrance-004_00672.jpg,389,423,pedestrian,52,124,88,188
BridgeEntrance-004_00731.jpg,389,423,pedestrian,237,131,265,205
BridgeEntrance-004_00731.jpg,389,423,pedestrian,264,136,289,208
BridgeEntrance-004_00731.jpg,389,423,pedestrian,297,101,317,135
BridgeEntrance-004_00762.jpg,389,423,pedestrian,265,122,290,187
BridgeEntrance-005_00035.jpg,389,423,pedestrian,193,237,267,367
BridgeEntrance-005_00056.jpg,389,423,pedestrian,229,128,248,191
BridgeEntrance-005_00068.jpg,389,423,pedestrian,34,117,56,178
BridgeEntrance-005_00074.jpg,389,423,pedestrian,235,115,255,170
BridgeEntrance-005_00166.jpg,389,423,pedestrian,216,128,238,190
BridgeEntrance-005_00166.jpg,389,423,pedestrian,237,128,262,192
BridgeEntrance-005_00166.jpg,389,423,pedestrian,276,96,291,136
BridgeEntrance-005_00166.jpg,389,423,pedestrian,291,99,303,132
BridgeEntrance-005_00166.jpg,389,423,pedestrian,303,98,316,130
BridgeEntrance-005_00178.jpg,389,423,pedestrian,220,124,238,185
BridgeEntrance-006_00111.jpg,389,423,pedestrian,259,134,282,204
BridgeEntrance-006_00111.jpg,389,423,pedestrian,315,164,355,248
BridgeEntrance-006_00156.jpg,389,423,pedestrian,235,139,260,205
BridgeEntrance-006_00180.jpg,389,423,pedestrian,248,120,270,180
BridgeEntrance-006_00204.jpg,389,423,pedestrian,240,141,265,221
BridgeEntrance-006_00204.jpg,389,423,pedestrian,34,137,61,197
BridgeEntrance-006_00262.jpg,389,423,pedestrian,238,137,269,212
BridgeEntrance-006_00262.jpg,389,423,pedestrian,188,104,206,149
BridgeEntrance-006_00283.jpg,389,423,pedestrian,224,122,245,185
